Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_076162.1,Torque teno mini virus SHA,RefSeq,GCF_018580825.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,SHA,Betatorquevirus homini26,2880,complete,China,,Homo sapiens,blood,2015-03-10
NC_076168.1,Torque teno virus,RefSeq,GCF_018580895.1,"Kuroda,M., Sekizuka,T., Hashino,M., Ikuta,Y., Nai,E., Katori,T., Oba,K.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Torque teno virus,2810,complete,Japan,,Homo sapiens,,2016
NC_076233.1,Torque teno mini virus 10,RefSeq,GCF_018583595.1,"Eibach,D., Hogan,B., Sarpong,N., Winter,D., Struck,N.S., Adu-Sarkodie,Y., Owusu-Dabo,E., Schmidt-Chanasit,J., May,J., Cadar,D.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Betatorquevirus homini10,2892,complete,Ghana,,Homo sapiens,cerebrospinal fluid,2014
NC_076235.1,Human associated porprismacovirus 3,RefSeq,GCF_018583635.1,"Ashworth,J.L., Robertson,G.S., Lu,L., Perry,M., Bogaardt,C., Ivens,A., My Phuc,T., Rabaa,M.A., Tri Tue,N., Pham Thi Thanh,T., Hong Anh,P., Baker,S., Woolhouse,M.E.J.","National Center for Biotechnology Information, NIH",USA,2023-05-04,16806x66_213,Porprismacovirus humas4,2388,complete,Viet Nam,,Homo sapiens,feces,2013-12-19
NC_076251.1,Human associated porprismacovirus,RefSeq,GCF_018583805.1,"Ashworth,J.L.","National Center for Biotechnology Information, NIH",USA,2023-05-04,16845x3_952,Inpeasmacovirus humas1,2607,complete,Viet Nam,,Homo sapiens,feces,2014-08-19
NC_076496.1,Gemycircularvirus sp.,RefSeq,GCF_018591295.1,"Tu,N.T.K., Hong,N.T.T., Ny,N.T.H., Phuc,T.M., Tam,P.T.T., Doom,H.Rv., Nghia,H.D.T., Huong,D.T., Han,D.A., Ha,L.T.T., Deng,X., Thwaites,G., Delwart,E., Virtala,A.-M.K., Vapalahti,O., Baker,S., Tan,L.V.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Gemycircularvirus sp.,2174,complete,Viet Nam,,Homo sapiens,,2013-08-08
NC_076626.1,Circular ssDNA virus sp.,RefSeq,GCF_023122845.1,"Siqueira,J.D., Dominguez-Bello,M.G., Deng,X., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Circular ssDNA virus sp.,2201,complete,Venezuela,,Homo sapiens,feces,2015
NC_076948.1,Rubella virus,RefSeq,GCF_024749945.1,"Kirkness,E.F., Halpin,R., Bera,J., Fedorova,N., Overton,L., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Abernathy,E., Chen,M.H., Icenogle,J., Wentworth,D.E., Bellini,W.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Rubivirus rubellae,9761,complete,USA: North Dakota,ND,Homo sapiens,,2008
NC_077192.1,Mundri virus,RefSeq,GCF_029887105.1,"Edridge,A.W.D., Abd-Elfarag,G., Deijs,M., Jebbink,M.F., Boele van Hensbroek,M., van der Hoek,L.","National Center for Biotechnology Information, NIH",USA,2023-05-04,A14,Tibrovirus mundri,12445,complete,South Sudan,,Homo sapiens,,2018-08-23
NC_055330.1,Alenquer virus,RefSeq,GCF_013086385.1,"Palacios,G., Tesh,R., Travassos da Rosa,A., Savji,N., Sze,W., Jain,K., Serge,R., Guzman,H., Guevara,C., Nunes,M.R., Nunes-Neto,J.P., Kochel,T., Hutchison,S., Vasconcelos,P.F., Lipkin,W.I.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Phlebovirus alenquerense,6418,complete,Brazil,,Homo sapiens,,1976
NC_055339.1,Echarate virus,RefSeq,GCF_013086425.1,"Palacios,G., Tesh,R., Travassos da Rosa,A., Savji,N., Sze,W., Jain,K., Serge,R., Guzman,H., Guevara,C., Nunes,M.R., Nunes-Neto,J.P., Kochel,T., Hutchison,S., Vasconcelos,P.F., Lipkin,W.I.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Phlebovirus echarateense,6411,complete,Peru,,Homo sapiens,,1998
NC_055342.1,Maldonado virus,RefSeq,GCF_013086435.1,"Palacios,G., Tesh,R., Travassos da Rosa,A., Savji,N., Sze,W., Jain,K., Serge,R., Guzman,H., Guevara,C., Nunes,M.R., Nunes-Neto,J.P., Kochel,T., Hutchison,S., Vasconcelos,P.F., Lipkin,W.I.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Phlebovirus maldonadoense,1827,complete,Peru,,Homo sapiens,,2004
NC_055523.1,Human lung-associated vientovirus FB,RefSeq,GCF_013088445.1,"Taylor,L.J., Abbas,A.A., Collman,R.G., Bushman,F.D.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Vientovirus,3056,complete,,,Homo sapiens,,
NC_045512.2,Severe acute respiratory syndrome coronavirus 2,RefSeq,GCF_009858895.2,"Wu,F., Zhao,S., Yu,B., Chen,Y.M., Wang,W., Song,Z.G., Hu,Y., Tao,Z.W., Tian,J.H., Pei,Y.Y., Yuan,M.L., Zhang,Y.L., Dai,F.H., Liu,Y., Wang,Q.M., Zheng,J.J., Xu,L., Holmes,E.C., Zhang,Y.Z., Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Chen,Y.-M., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Zhang,Y.-L., Dai,F.-H., Wang,Q.-M., Zheng,J.-J., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2020-01-13,Wuhan-Hu-1,Betacoronavirus pandemicum,29903,complete,China,,Homo sapiens,,2019-12
NC_044932.1,Norovirus GII,RefSeq,GCF_008711635.1,"Tohma,K., Saito,M., Mayta,H., Zimic,M., Lepore,C.J., Ford-Siltz,L.A., Gilman,R.H., Parra,G.I.","National Center for Biotechnology Information, NIH",USA,2019-09-27,Hu/GII.PNA4-GII.NA4/PNV06929/2008/PER,Norwalk virus,7525,complete,Peru,,Homo sapiens,feces,2008-05-27
NC_044853.1,Norovirus GI,RefSeq,GCF_008703965.1,"Sano,D., Utagawa,E., Katayama,K., Doan,H.Y.","National Center for Biotechnology Information, NIH",USA,2019-09-26,,Norwalk virus,7677,complete,Japan: Saitama,,Homo sapiens,,1998
NC_044855.1,Norovirus GIV,RefSeq,GCF_008704005.1,"Collins,N., Aswath,K., Barclay,L., Vinje,J.","National Center for Biotechnology Information, NIH",USA,2019-09-26,,Norwalk virus,7419,complete,USA,,Homo sapiens,,2016-05-11
NC_044045.1,Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299,RefSeq,GCF_007608995.1,"Park,Y., Wu,F.-T., Miki,M., Amano,K., Ozawa,K., Murakami,K., Todaka,R., Shimoike,T., Oka,T., Uchida,K., Shinohara,M., Katayama,K.","National Center for Biotechnology Information, NIH",USA,2019-07-29,Sapporo/HK299,Norwalk virus,7551,complete,Japan,,Homo sapiens,,2007
NC_044046.1,Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS,RefSeq,GCF_007609035.1,"Park,Y., Wu,F.-T., Miki,M., Amano,K., Ozawa,K., Murakami,K., Todaka,R., Shimoike,T., Oka,T., Uchida,K., Shinohara,M., Katayama,K.","National Center for Biotechnology Information, NIH",USA,2019-07-29,Yuzawa/Gira2HS,Norwalk virus,7543,complete,Japan,,Homo sapiens,,2011
NC_043067.1,Tibrovirus congo,RefSeq,GCF_002815815.1,"Grard,G., Fair,J.N., Lee,D., Slikas,E., Steffen,I., Muyembe,J.J., Sittler,T., Veeraraghavan,N., Ruby,J.G., Wang,C., Makuwa,M., Mulembakani,P., Tesh,R.B., Mazet,J., Rimoin,A.W., Taylor,T., Schneider,B.S., Simmons,G., Delwart,E., Wolfe,N.D., Chiu,C.Y., Leroy,E.M., Leroy,E.","National Center for Biotechnology Information, NIH",USA,2019-06-28,BASV-1,Tibrovirus congo,11892,complete,Democratic Republic of the Congo,,Homo sapiens,blood,2009-05
NC_043445.1,Guenon simian foamy virus,RefSeq,GCF_003032775.1,"Rua,R., Betsem,E., Calattini,S., Saib,A., Gessain,A.","National Center for Biotechnology Information, NIH",USA,2019-06-28,AG16,Guenon simian foamy virus,13072,complete,Cameroon,,Homo sapiens,,
NC_043450.1,Severe fever with thrombocytopenia syndrome virus,RefSeq,GCF_003087855.1,,"National Center for Biotechnology Information, NIH",USA,2019-06-28,,Bandavirus dabieense,6255,complete,China,,Homo sapiens,blood,2014-10-11
NC_043585.1,Ilesha virus,RefSeq,GCF_004789595.1,"Pachler,K., Ruzek,D., Nowotny,N.","National Center for Biotechnology Information, NIH",USA,2019-06-28,,Orthobunyavirus ileshaense,970,complete,,,Homo sapiens,,
NC_043615.1,Fort Sherman virus,RefSeq,GCF_004789975.1,,"National Center for Biotechnology Information, NIH",USA,2019-06-28,,Orthobunyavirus shermanense,4463,complete,Panama,,Homo sapiens,,1985
NC_040306.1,Human feces pecovirus,RefSeq,GCF_003726995.1,"Phan,T.G., da Costa,A.C., Del Valle Mendoza,J., Bucardo-Rivera,F., Nordgren,J., O'Ryan,M., Deng,X., Delwart,E., Phan,T.","National Center for Biotechnology Information, NIH",USA,2019-02-12,,Human feces pecovirus,2928,complete,Nicaragua,,Homo sapiens,feces,2005
NC_040309.1,Human DNA virus,RefSeq,GCF_003727435.1,"Lole,K.S., Thorat,N.C., Pingle,S.Y.","National Center for Biotechnology Information, NIH",USA,2019-02-12,IND-KIs-REVA-1990,Human DNA virus,9585,complete,India,,Homo sapiens,,1990-05-11
NC_040550.1,Gammapapillomavirus sp.,RefSeq,GCF_004131605.1,"Pastrana,D.V., Peretti,A., Welch,N.L., Borgogna,C., Olivero,C., Badolato,R., Notarangelo,L.D., Gariglio,M., FitzGerald,P.C., McIntosh,C.E., Reeves,J., Starrett,G.J., Bliskovsky,V., Velez,D., Brownell,I., Yarchoan,R., Wyvill,K.M., Uldrick,T.S., Maldarelli,F., Lisco,A., Sereti,I., Gonzalez,C.M., Androphy,E.J., McBride,A.A., Van Doorslaer,K., Garcia,F., Dvoretzky,I., Liu,J.S., Han,J., Murphy,P.M., McDermott,D.H., Buck,C.B., McBride,A., Cho,E., Holland,S.M., Freeman,A.F.","National Center for Biotechnology Information, NIH",USA,2019-02-12,Gamma_w34c04a,Gammapapillomavirus sp.,7226,complete,USA,,Homo sapiens,skin,2016-10
NC_039897.1,Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866,RefSeq,GCF_003813225.1,"Park,Y., Wu,F.-T., Miki,M., Amano,K., Ozawa,K., Murakami,K., Todaka,R., Shimoike,T., Oka,T., Uchida,K., Shinohara,M., Katayama,K.","National Center for Biotechnology Information, NIH",USA,2018-11-21,Shimizu/KK2866,Norwalk virus,7745,complete,Japan,,Homo sapiens,,2007
NC_039475.1,Norovirus GII.17,RefSeq,GCF_003638645.1,"Dang Thanh,H., Than,V.T., Nguyen,T.H., Lim,I., Kim,W., Hien,D.T.","National Center for Biotechnology Information, NIH",USA,2018-10-12,,Norwalk virus,7556,complete,South Korea,,Homo sapiens,feces,2015
NC_038282.1,Ekpoma virus 1,RefSeq,GCF_002815855.1,"Stremlau,M.H., Andersen,K.G., Folarin,O.A., Grove,J.N., Odia,I., Ehiane,P.E., Omoniwa,O., Omoregie,O., Jiang,P.P., Yozwiak,N.L., Matranga,C.B., Yang,X., Gire,S.K., Winnicki,S., Tariyal,R., Schaffner,S.F., Okokhere,P.O., Okogbenin,S., Akpede,G.O., Asogun,D.A., Agbonlahor,D.E., Walker,P.J., Tesh,R.B., Levin,J.Z., Garry,R.F., Sabeti,P.C., Happi,C.T.","National Center for Biotechnology Information, NIH",USA,2018-08-24,EKV-1,Tibrovirus alphaekpoma,12659,complete,Nigeria,,Homo sapiens,,2011-10
NC_038283.1,Ekpoma virus 2,RefSeq,GCF_002815875.1,"Stremlau,M.H., Andersen,K.G., Folarin,O.A., Grove,J.N., Odia,I., Ehiane,P.E., Omoniwa,O., Omoregie,O., Jiang,P.P., Yozwiak,N.L., Matranga,C.B., Yang,X., Gire,S.K., Winnicki,S., Tariyal,R., Schaffner,S.F., Okokhere,P.O., Okogbenin,S., Akpede,G.O., Asogun,D.A., Agbonlahor,D.E., Walker,P.J., Tesh,R.B., Levin,J.Z., Garry,R.F., Sabeti,P.C., Happi,C.T.","National Center for Biotechnology Information, NIH",USA,2018-08-24,EKV-2,Tibrovirus betaekpoma,12674,complete,Nigeria,,Homo sapiens,,2011-10
NC_038294.1,Betacoronavirus England 1,RefSeq,GCF_002816195.1,"de Groot,R.J., Baker,S.C., Baric,R.S., Brown,C.S., Drosten,C., Enjuanes,L., Fouchier,R.A., Galiano,M., Gorbalenya,A.E., Memish,Z.A., Perlman,S., Poon,L.L., Snijder,E.J., Stephens,G.M., Woo,P.C., Zaki,A.M., Zambon,M., Ziebuhr,J., Cotten,M., Lam,T.T., Watson,S.J., Palser,A.L., Petrova,V., Grant,P., Pybus,O.G., Rambaut,A., Guan,Y., Pillay,D., Kellam,P., Nastouli,E., Myers,R., Bermingham,A., Gopal,R.","National Center for Biotechnology Information, NIH",USA,2018-08-24,H123990006,Middle East respiratory syndrome-related coronavirus,30111,complete,United Kingdom,,Homo sapiens,,2012-09-11
NC_038298.1,Orthohantavirus bayoui,RefSeq,GCF_002816435.1,"Morzunov,S.P., Feldmann,H., Spiropoulou,C.F., Semenova,V.A., Rollin,P.E., Ksiazek,T.G., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Orthohantavirus bayoui,1958,complete,,,Homo sapiens,,
NC_038307.1,Coxsackievirus B3,RefSeq,GCF_002816685.1,"Tracy,S., Chapman,N.M., Tu,Z., Klump,W.M., Bergmann,I., Muller,B.C., Ameis,D., Kandolf,R., Lindberg,A.M., Stalhandske,P.O., Pettersson,U.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Enterovirus B,7399,complete,,,Homo sapiens,,
NC_038337.1,Torque teno virus 9,RefSeq,GCF_002818245.1,"Shende,V.R., Brown,K.E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,BM1C,Alphatorquevirus homin9,3064,complete,USA,,Homo sapiens,bone,
NC_038346.1,Torque teno mini virus 11,RefSeq,GCF_002818465.1,"Biagini,P., Uch,R., Belhouchet,M., Attoui,H., Cantaloube,J.F., Brisbarre,N., de Micco,P.","National Center for Biotechnology Information, NIH",USA,2018-08-24,LIL-y2,Betatorquevirus homini11,2871,complete,France,,Homo sapiens,blood,
NC_038347.1,Torque teno mini virus 12,RefSeq,GCF_002818485.1,"Biagini,P., Uch,R., Belhouchet,M., Attoui,H., Cantaloube,J.F., Brisbarre,N., de Micco,P.","National Center for Biotechnology Information, NIH",USA,2018-08-24,LIL-y3,Betatorquevirus homini12,2912,complete,France,,Homo sapiens,blood,
NC_038350.1,Torque teno midi virus 3,RefSeq,GCF_002818545.1,"Biagini,P., Uch,R., Belhouchet,M., Attoui,H., Cantaloube,J.F., Brisbarre,N., de Micco,P.","National Center for Biotechnology Information, NIH",USA,2018-08-24,2PoSMA,Gammatorquevirus homidi3,2002,complete,France,,Homo sapiens,blood,
NC_038351.1,Torque teno midi virus 4,RefSeq,GCF_002818565.1,"Biagini,P., Uch,R., Belhouchet,M., Attoui,H., Cantaloube,J.F., Brisbarre,N., de Micco,P.","National Center for Biotechnology Information, NIH",USA,2018-08-24,6PoSMA,Gammatorquevirus homidi4,2454,complete,France,,Homo sapiens,blood,
NC_038352.1,Torque teno midi virus 5,RefSeq,GCF_002818585.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJHem2,Gammatorquevirus homidi5,3208,complete,Japan,,Homo sapiens,blood,
NC_038353.1,Torque teno midi virus 6,RefSeq,GCF_002818605.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJHem3-1,Gammatorquevirus homidi6,3198,complete,Japan,,Homo sapiens,blood,
NC_038354.1,Torque teno midi virus 7,RefSeq,GCF_002818625.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJHem3-2,Gammatorquevirus homidi7,3197,complete,Japan,,Homo sapiens,blood,
NC_038355.1,Torque teno midi virus 8,RefSeq,GCF_002818645.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJN1,Gammatorquevirus homidi8,3223,complete,Japan,,Homo sapiens,blood,
NC_038356.1,Torque teno midi virus 9,RefSeq,GCF_002818665.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJN2,Gammatorquevirus homidi9,3187,complete,Japan,,Homo sapiens,blood,
NC_038357.1,Torque teno midi virus 10,RefSeq,GCF_002818685.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJN14,Gammatorquevirus homidi10,3175,complete,Japan,,Homo sapiens,blood,
NC_038358.1,Torque teno midi virus 11,RefSeq,GCF_002818705.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJN47,Gammatorquevirus homidi11,3198,complete,Japan,,Homo sapiens,blood,
NC_038359.1,Torque teno midi virus 12,RefSeq,GCF_002818725.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJN51,Gammatorquevirus homidi12,3187,complete,Japan,,Homo sapiens,blood,
NC_038360.1,Torque teno midi virus 13,RefSeq,GCF_002818745.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJN69,Gammatorquevirus homidi13,3230,complete,Japan,,Homo sapiens,blood,
NC_038361.1,Torque teno midi virus 14,RefSeq,GCF_002818765.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJN97,Gammatorquevirus homidi14,3223,complete,Japan,,Homo sapiens,blood,
NC_038392.1,Human stool-associated circular virus NG13,RefSeq,GCF_002819605.1,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,NG13,Circovirus eniyan,1699,complete,Nigeria,,Homo sapiens,feces,2007
NC_038412.1,Cyclovirus PK5510,RefSeq,GCF_002820065.1,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,PK5510,Cyclovirus maanav,1759,complete,Pakistan,,Homo sapiens,feces,2007
NC_038413.1,Cyclovirus PK5222,RefSeq,GCF_002820105.1,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,PK5222,Cyclovirus manukha,1740,complete,Pakistan,,Homo sapiens,feces,2006
NC_038414.1,Cyclovirus TN25,RefSeq,GCF_002820125.1,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,TN25,Cyclovirus bashri,1867,complete,Tunisia,,Homo sapiens,feces,2007
NC_038415.1,Cyclovirus PK5034,RefSeq,GCF_002820145.1,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,PK5034,Cyclovirus homa,1780,complete,Pakistan,,Homo sapiens,feces,2007
NC_038416.1,Cyclovirus NG12,RefSeq,GCF_002820165.1,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,NG12,Cyclovirus mmadu,1794,complete,Nigeria,,Homo sapiens,feces,2007
NC_038417.1,Cyclovirus NG14,RefSeq,GCF_002820185.1,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,NG14,Cyclovirus mutum,1795,complete,Nigeria,,Homo sapiens,feces,2007
